"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"FiOS-AR3HX","Verizon:485d36-8f365a","Verizon:485d36-8f365a","--","Verizon:485d36-8f365a","6","20","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Verizon:485d36-8f365a","Feb 22,2021 01:38PM"
"HPE710n.80A36C","HewlettP:101f74-80a36c","HewlettP:101f74-80a36c","--","HewlettP:101f74-80a36c","6","20","g,b","--","--","Open","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","HewlettP:101f74-80a36c","Feb 22,2021 01:43PM"
"[Hidden]","localAdm:8a1514-9bab90","Local:8a1514-9bab90","--","Local:8a1514-9bab90","104","80","ac,n,a","-79 dBm","12 dB","WPA2-P,WPA-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1514-9bab90","Feb 22,2021 01:44PM"
"[Hidden]","localAdm:8a1514-9bab9f","Local:8a1514-9bab9f","--","Local:8a1514-9bab90","104","80","ac,n,a","-79 dBm","12 dB","WEP","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1514-9bab9f","Feb 22,2021 01:44PM"
"Innovation_Guest","HewlettP:84d47e-ebb571","ArubaaHe:84d47e-ebb571","--","ArubaaHe:84d47e-ebb561","52","80","ac,n,a","-73 dBm","17 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","ArubaaHe:84d47e-ebb571","Feb 22,2021 01:44PM"
"[Hidden]","localAdm:8a1514-9bab91","Local:8a1514-9bab91","--","Local:8a1514-9bab90","104","80","ac,n,a","-78 dBm","13 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1514-9bab91","Feb 22,2021 01:44PM"
"Innovation","HewlettP:84d47e-ebb570","ArubaaHe:84d47e-ebb570","--","ArubaaHe:84d47e-ebb561","52","80","ac,n,a","-74 dBm","16 dB","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ArubaaHe:84d47e-ebb570","Feb 22,2021 01:44PM"
"[Hidden]","Cisco:843dc6-baf401","Cisco:843dc6-baf401","--","WA-EVERETT-AP7_","157","20","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-baf401","Feb 22,2021 01:37PM"
"OC-Guest","Cisco:843dc6-baf40b","Cisco:843dc6-baf40b","--","WA-EVERETT-AP7_","157","20","ac,n,a","--","--","Open","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-baf40b","Feb 22,2021 01:37PM"
"Verizon-MiFi8800L-EA6E","NovatelW:2880a2-68ea6e","NovatelW:2880a2-68ea6e","--","NovatelW:2880a2-68ea6f","36","80","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","NovatelW:2880a2-68ea6e","Feb 22,2021 01:31PM"
